#ID	KIND	SITE_PATTERN (ERE over the OLD text — MEASURES the site set; never typed)	PINNED (exact normalized substring)	ABSENT (|-separated; must appear nowhere in corpus)
S-HG2-DEGEN	NEW	assembled-plan\.md	HG2 applies to whichever artifact is presentable: assembled-plan.md for a decomposed run, or tree/root/plan.md for a single-leaf run, so a leaf-only run reaches the gate and can pass it	
S-HG2-MARKER	NEW	assembled-plan\.md	the run-complete marker is the recorded assembly approval, never the existence of assembled-plan.md, so a restart with the artifact present and the approval absent re-asks the human	its existence is the .run complete. marker
S-HG2-LIMIT	NEW	top.level ONLY|top level ONLY|human gate ONLY|Top-level only|top-level-only|assembled-plan\.md	honest limitation: the approval record is written by an agent, so never self-approved is a duty this loop states and not a property its mechanism enforces	
S-HG2-ONLY	NEW	top.level ONLY|top level ONLY|human gate ONLY|Top-level only|top-level-only	the decomposition human gate fires at the top level only and never at deeper splits; HG2 is a separate later gate on the finished artifact	
S-XPM	NEW	finalized / presented|not presentable, finalizable|presentable artifact|finalizes / presents|cannot finalize until|reaches .presentable	presenting or exiting plan mode is blocked by both gates: the structural GBP precondition and the HG2 human approval	
S-COV-PROD	NEW	Total coverage|total coverage	every node gated clean is decided from each node's own recorded gate state, which stage 5 writes before stage 7 reads it	
S-IDGREP	NEW	grep -r	grep -rnow -- <ID> SKILL.md METHODOLOGY.md README.md stages/ templates/ examples/	grep -rln -- <ID> SKILL.md METHODOLOGY.md stages/
S-IDGREP-CAV	NEW	grep -r	word boundaries remove HARDSTOP but not the ordinary phrase ON TOP OF, so hits are hand-triaged and every exclusion is reported	
P-GBP	PRESERVE	clean-or-resolved	clean-or-resolved	
P-COV	PRESERVE	every node and every altitude	every node and every altitude	
P-CMP2	PRESERVE	generative	generative	
P-RST-HARDSTOP	PRESERVE	HARDSTOP	HARDSTOP	
P-TOP-DEEPER	PRESERVE	deeper.{0,40}(splits|recursive)	deeper	
P-SPN-SEVEN	PRESERVE	7-section universal spine	7-section universal spine	
P-ECON	PRESERVE	context economy|Context economy	context economy	
P-RAT3	PRESERVE	halts the (subagent|runner)	halts the	
